City;Population 2024;Density (/mile2);Area (mile2)
Houston;2319119;3620;640,61
San Antonio;1513974;3034;498,92
Dallas;1302753;3835;339,68
Fort Worth;996756;2846;350,27
Austin;984567;3017;326,37
El Paso;678859;2623;258,79
Arlington;399825;4172;95,84
Corpus Christi;316105;1948;162,28
Plano;291450;4065;71,7
Lubbock;269833;1901;141,96
Laredo;258306;2418;106,82
Irving;253561;3786;66,98
Garland;242523;4265;56,86
Frisco;232424;3389;68,59
McKinney;218846;3268;66,96
Grand Prairie;204093;2815;72,51
Amarillo;203035;1960;103,61
Brownsville;191209;1451;131,8
Denton;164096;1693;96,92
Killeen;161612;2958;54,63
McAllen;147989;2374;62,33
Mesquite;146547;2985;49,1
Waco;146241;1607;91
Pasadena;145165;3323;43,69
Midland;140232;1846;75,98
Lewisville;135930;3343;40,66
Round Rock;133691;3526;37,92
Carrollton;132706;3621;36,65
Abilene;130251;1221;106,67
Pearland;128316;2634;48,72
College Station;126665;2476;51,16
The Woodlands;122272;2826;43,27
New Braunfels;117396;2607;45,03
League City;116874;2275;51,36
Richardson;116813;4090;28,56
Odessa;116015;2236;51,89
Conroe;113912;1503;75,8
Allen;113644;4304;26,4
Tyler;111678;1932;57,79
Beaumont;111305;1355;82,14
